"score","amount"
8.34,4
5.29,18
6.72,46
3.33,2
4.86,10
6.52,57
8.32,7
6.18,47
7.25,39
5.77,36
5.71,32
4.15,1
7.45,41
7.0,45
5.45,25
7.38,42
6.55,50
5.3,22
7.39,34
5.96,40
4.61,6
6.73,53
6.15,44
6.6,40
7.87,16
8.12,6
5.82,31
9.04,3
7.29,53
3.1,1
8.37,8
6.79,56
6.16,36
6.47,51
6.31,58
7.71,33
4.93,11
8.18,9
4.87,7
4.96,8
7.93,16
4.9,9
5.86,34
1.85,1
8.09,14
5.74,32
8.39,7
8.63,4
8.43,7
8.11,15
3.28,1
8.33,11
5.51,29
7.56,42
8.26,8
6.21,61
5.54,33
4.58,5
8.94,2
3.86,1
6.04,43
3.26,1
2.76,1
6.26,38
6.42,53
5.69,35
4.69,7
7.62,33
8.27,9
7.42,46
4.49,4
6.83,41
7.83,14
4.99,9
8.3,5
6.13,53
2.9,2
5.33,25
7.58,35
6.76,43
5.52,27
8.2,13
7.05,52
4.67,9
8.69,3
5.08,14
5.01,20
3.77,1
6.01,40
9.07,1
7.65,21
8.19,16
7.36,41
5.36,27
5.62,26
5.18,17
7.4,32
8.64,3
5.39,27
4.1,2
8.05,11
5.26,20
8.49,3
3.87,1
5.17,16
3.98,1
6.29,51
6.0,48
9.03,1
4.71,4
5.55,32
8.81,2
7.02,43
4.78,9
5.28,17
7.48,29
7.19,60
3.29,1
6.67,46
7.34,50
6.36,52
8.8,2
6.66,58
5.16,10
6.97,38
6.17,46
3.66,1
8.5,4
4.03,1
6.75,45
4.68,5
8.03,13
7.01,44
6.08,49
6.03,41
5.49,23
6.53,48
8.7,4
7.07,40
2.63,1
8.47,4
7.27,50
8.35,6
8.4,4
4.19,2
5.03,8
6.94,36
7.84,24
4.66,4
7.22,50
8.02,14
5.2,12
6.38,55
7.72,20
8.0,17
5.24,21
3.5,2
8.07,9
7.2,50
7.75,24
8.85,1
3.27,2
8.17,13
7.89,19
4.6,9
4.37,3
4.17,2
8.41,8
4.07,1
4.47,3
8.78,2
3.21,1
8.58,3
2.22,1
4.2,1
6.33,47
8.9,1
5.15,14
8.45,7
5.66,41
6.41,55
7.69,23
5.76,33
7.7,21
6.74,55
4.95,8
6.64,45
8.77,2
7.63,25
5.07,14
3.89,1
4.75,12
5.89,47
7.91,17
6.44,51
6.3,58
6.25,49
5.91,42
7.43,42
6.86,41
5.11,12
4.64,2
5.88,40
8.38,6
6.68,48
5.37,22
7.67,26
2.59,1
5.7,35
8.84,2
7.44,40
8.13,6
3.22,1
4.83,9
9.0,1
4.31,1
6.34,44
5.6,38
8.31,11
4.73,7
5.42,31
3.75,3
5.57,25
7.13,50
6.7,49
5.32,23
8.61,3
5.56,35
4.0,1
9.02,1
6.81,37
5.8,41
8.6,2
7.76,21
7.95,9
6.78,42
4.52,2
4.01,1
6.48,49
3.31,1
8.93,2
6.19,52
8.88,3
5.81,36
7.85,20
6.46,41
8.91,2
8.48,4
5.4,29
5.99,47
7.82,14
4.94,6
6.28,49
7.77,19
8.53,4
6.5,56
8.23,11
8.66,5
8.15,9
7.73,24
6.06,45
4.56,5
5.19,21
4.06,1
4.43,1
5.23,17
4.4,2
7.97,13
4.63,6
5.02,14
5.87,42
6.63,53
4.3,2
6.24,36
5.72,39
6.57,42
3.05,1
7.66,26
8.72,2
5.98,32
3.58,1
6.54,65
6.23,41
4.27,3
7.26,53
7.81,27
7.46,35
5.35,28
8.1,10
4.84,12
4.91,7
3.79,1
3.55,2
8.68,3
6.11,55
6.27,47
7.98,9
6.85,48
5.22,14
4.53,3
8.56,2
6.56,47
5.0,9
3.35,2
7.24,49
7.78,26
7.28,58
6.39,51
5.64,47
3.69,1
5.27,23
6.96,39
4.36,3
4.81,8
4.7,9
5.06,10
6.65,54
4.44,2
5.46,27
3.46,1
8.71,2
7.61,28
7.94,17
5.79,37
7.54,30
8.76,1
7.41,40
4.13,1
8.67,2
6.91,31
8.44,3
7.08,39
7.59,24
4.59,6
8.16,14
5.31,16
6.12,41
7.14,53
5.9,41
5.05,8
5.34,22
3.56,1
7.6,17
6.14,55
7.04,36
6.58,56
5.85,42
4.39,3
7.88,19
3.06,1
8.28,8
7.1,49
5.14,11
5.73,39
6.35,40
4.11,3
6.98,27
3.62,2
5.94,34
3.81,2
7.17,48
4.89,7
8.98,1
4.82,6
7.51,34
6.88,48
7.16,57
4.41,2
8.42,4
8.52,6
6.61,53
4.8,9
6.99,39
4.77,9
6.77,52
4.72,11
3.97,1
4.92,5
8.08,18
8.65,1
8.54,7
3.83,2
4.79,10
6.07,50
5.12,16
8.24,8
6.05,46
4.34,2
4.97,7
7.09,48
7.64,22
5.61,26
5.84,36
7.49,31
5.59,28
6.59,48
2.53,1
8.36,8
5.43,36
6.02,40
8.86,1
8.14,17
5.38,24
5.5,28
8.04,10
7.12,47
4.51,3
4.88,6
5.92,43
5.47,33
3.74,1
7.92,13
4.65,10
4.21,1
5.1,12
8.74,2
4.05,2
5.83,36
5.48,29
5.65,32
7.33,52
2.31,1
7.21,46
7.23,56
8.79,2
6.8,40
7.68,17
5.78,37
5.44,26
7.32,46
8.29,12
6.71,51
8.75,1
8.73,2
6.82,58
4.48,5
8.25,9
7.55,45
8.87,1
5.53,38
5.04,17
6.1,39
4.74,6
6.89,46
5.09,22
6.22,37
6.45,50
8.62,5
6.49,36
5.68,37
4.76,7
5.63,37
7.3,47
5.97,52
7.96,14
6.51,79
5.25,15
4.85,14
4.57,5
8.06,18
9.05,2
3.92,1
7.99,9
4.55,3
4.22,2
9.1,1
5.13,26
8.59,2
5.75,36
7.79,17
4.42,5
7.37,47
6.09,56
6.4,52
6.32,58
6.69,50
3.09,1
2.97,1
6.93,53
7.53,32
3.36,1
8.46,3
3.19,1
5.93,46
4.35,1
4.98,9
6.87,49
8.22,13
7.8,19
4.5,3
8.21,9
6.2,47
7.11,43
8.57,6
7.03,60
4.46,2
7.52,32
5.67,38
6.62,48
6.43,46
3.47,1
6.9,37
5.58,30
7.5,32
7.57,33
7.74,22
7.06,54
7.18,57
8.55,5
5.95,44
8.01,12
6.95,36
7.9,22
5.41,20
9.06,2
7.86,18
8.51,5
4.62,3
7.15,42
6.37,53
7.31,51
7.35,37
6.92,49
7.47,35
4.29,3
4.45,5
5.21,19
6.84,47
