"mid","title","rank","type","volumes","published","members","page_url","image_url","score","fixed_published"
0,City Hunter,460,Manga,"35",Feb 1985 - Nov 1991,14690,https://myanimelist.net/manga/792/City_Hunter,https://cdn.myanimelist.net/r/100x140/images/manga/5/272237.jpg?s=91027a075fc64be41ed3f44b0186cc64,8.16,Feb 1985 - Nov 1991
1,Keijo!!!!!!!!,4532,Manga,"18",Jul 2013 - Apr 2017,12689,https://myanimelist.net/manga/56505/Keijo,https://cdn.myanimelist.net/r/100x140/images/manga/3/168393.jpg?s=630ab39042bfd9b95226a974cb5920b3,7.31,Jul 2013 - Apr 2017
2,Rain,1808,Manga,?,Nov 2008 -,12021,https://myanimelist.net/manga/17237/Rain,https://cdn.myanimelist.net/r/100x140/images/manga/3/25899.jpg?s=fc5341a8b225edc266780a138e24db97,7.67,Nov 2008 - Dec 2023
4,Odd Girl Out,953,Manhwa,?,May 2015 -,4968,https://myanimelist.net/manga/119521/Odd_Girl_Out,https://cdn.myanimelist.net/r/100x140/images/manga/2/222276.jpg?s=bef6998d7e636de5d833d0be680b4118,7.9,May 2015 - Dec 2023
5,Watashi no Fushidara,17169,Manga,"2",Nov 2015 - Dec 2016,3659,https://myanimelist.net/manga/106646/Watashi_no_Fushidara,https://cdn.myanimelist.net/r/100x140/images/manga/2/195205.jpg?s=bf37e6541ed445b79ac486401226e59d,6.07,Nov 2015 - Dec 2016
6,Uchuu Senkan Yamato,12124,Manga,"3",Oct 1974 - Dec 1979,1168,https://myanimelist.net/manga/33333/Uchuu_Senkan_Yamato,https://cdn.myanimelist.net/r/100x140/images/manga/1/284283.jpg?s=18071abe2d33c7585485a9f90a743049,6.74,Oct 1974 - Dec 1979
7,Ruru Chouchou,13402,One-shot,?,Dec 2012 - Dec 2012,457,https://myanimelist.net/manga/47807/Ruru_Chouchou,https://cdn.myanimelist.net/r/100x140/images/manga/4/111251.jpg?s=4273abac7c8a2e943c9d13243b6b5a17,6.64,Dec 2012 - Dec 2012
8,Confession,4417,Manga,"1",Apr 1998 - Sep 1998,6005,https://myanimelist.net/manga/1541/Confession,https://cdn.myanimelist.net/r/100x140/images/manga/3/13085.jpg?s=285e4f27a7be4d0d43cf08e44c5dc109,7.32,Apr 1998 - Sep 1998
9,Ibara no Namida,12480,Manga,"1",Jan 2011 - Jan 2011,580,https://myanimelist.net/manga/33841/Ibara_no_Namida,https://cdn.myanimelist.net/r/100x140/images/manga/1/61707.jpg?s=e3ab7f88a18db79595cd8ca87ca04c43,6.71,Jan 2011 - Jan 2011
10,Inuyashiki,2257,Manga,"10",Jan 2014 - Jul 2017,57102,https://myanimelist.net/manga/64465/Inuyashiki,https://cdn.myanimelist.net/r/100x140/images/manga/2/156353.jpg?s=ded4aa7026a2a2a078ee791cb0e31fea,7.59,Jan 2014 - Jul 2017
