"title","a_score","m_score","score_gap","a_rank","m_rank","members","fixed_aired","fixed_published"
Princess Tutu,8.13,6.06,2.0700002,431,17190,3321,Aug 2002 - May 2003,Aug 2002 - May 2003
Ginga Eiyuu Densetsu,9.02,7.08,1.9400005,12,7426,1777,Jan 1988 - Mar 1997,Oct 2015 - Dec 2023
Dennou Coil,8.04,6.26,1.7799997,537,16567,823,May 2007 - Dec 2007,Nov 2007 - Nov 2007
Ginga Eiyuu Densetsu,9.02,7.27,1.7500005,12,4993,1333,Jan 1988 - Mar 1997,Aug 1986 - Feb 2000
Shinsekai yori,8.28,6.62,1.6599998,262,13632,10276,Sep 2012 - Mar 2013,May 2012 - Jun 2014
Cowboy Bebop,8.75,7.15,1.5999999,41,6359,16259,Apr 1998 - Apr 1999,Apr 1999 - Apr 2000
Naruto,7.99,6.49,1.5,603,14976,16298,Oct 2002 - Feb 2007,Aug 1997 - Aug 1997
Tenkuu no Escaflowne,7.67,6.22,1.4500003,1201,16704,2329,Apr 1996 - Sep 1996,Dec 1994 - Jan 1998
Panty & Stocking with Garterbelt,7.72,6.31,1.4099998,1093,16321,1180,Oct 2010 - Dec 2010,May 2011 - May 2011
Black Clover,8.14,6.79,1.3500004,418,11438,2108,Oct 2017 - Mar 2021,May 2014 - May 2014
Code Geass: Hangyaku no Lelouch R2,8.91,7.59,1.3199997,19,2254,1024,Apr 2008 - Sep 2008,May 2008 - Feb 2009
Usagi Drop,8.36,7.1,1.2599998,197,6994,45498,Jul 2011 - Sep 2011,Oct 2005 - Dec 2011
Sora yori mo Tooi Basho,8.52,7.29,1.2300005,117,4715,3609,Jan 2018 - Mar 2018,Dec 2017 - Feb 2019
UFO Robo Grendizer,7.56,6.34,1.2199998,1530,16124,1213,Oct 1975 - Feb 1977,Oct 1975 - May 1976
Gankutsuou,8.14,6.93,1.2100005,421,9445,2348,Oct 2004 - Mar 2005,Mar 2005 - Mar 2008
Kill la Kill,8.04,6.83,1.21,542,10942,14790,Oct 2013 - Mar 2014,Oct 2013 - Feb 2015
Bleach,7.92,6.71,1.21,689,12519,8913,Oct 2004 - Mar 2012,Dec 2000 - Dec 2000
Tenshi no Tamago,7.71,6.52,1.19,1132,14657,485,Dec 1985 - Dec 1985,Nov 2005 - Dec 2005
Koukaku Kidoutai: Stand Alone Complex,8.42,7.29,1.1300001,161,4699,2540,Oct 2002 - Oct 2003,Dec 2009 - Dec 2012
Samurai Champloo,8.51,7.41,1.1000004,123,3541,13652,May 2004 - Mar 2005,Jan 2004 - Sep 2004
Panty & Stocking with Garterbelt,7.72,6.62,1.0999999,1093,13611,4057,Oct 2010 - Dec 2010,Aug 2010 - Jun 2011
Code Geass: Hangyaku no Lelouch,8.7,7.61,1.0899997,50,2142,18711,Oct 2006 - Jul 2007,Aug 2006 - Feb 2010
Mawaru Penguindrum,7.94,6.86,1.0799999,667,10421,1446,Jul 2011 - Dec 2011,May 2013 - Jan 2017
Eiga Daisuki Pompo-san,8.15,7.08,1.0699997,403,7369,661,Jun 2021 - Jun 2021,Aug 2017 - Sep 2018
Kakushigoto,7.99,6.95,1.04,610,9212,2968,Apr 2020 - Jun 2020,May 2018 - Dec 2023
Uchuu Patrol Luluco,7.54,6.51,1.0299997,1594,14786,774,Apr 2016 - Jun 2016,Apr 2016 - Jun 2016
Darker than Black: Kuro no Keiyakusha,8.06,7.04,1.0200005,512,7932,16724,Apr 2007 - Sep 2007,Feb 2007 - Nov 2007
Steins;Gate,9.07,8.05,1.0199995,2,650,25005,Apr 2011 - Sep 2011,Sep 2009 - Jul 2013
Haikyuu!!,8.44,7.42,1.0199995,151,3417,11388,Apr 2014 - Sep 2014,Apr 2011 - Apr 2011
Toki wo Kakeru Shoujo,8.11,7.1,1.0099998,447,7001,3198,Jul 2006 - Jul 2006,May 2003 - May 2004
RahXephon,7.39,6.39,1.0,2124,15806,2037,Jan 2002 - Sep 2002,Sep 2001 - Nov 2002
Golden Boy,8.04,7.06,0.98,539,7673,19129,Oct 1995 - Jun 1996,Jun 1993 - Jan 1998
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,8.07,7.09,0.97999954,502,7264,822,Sep 2005 - Sep 2005,Dec 2013 - Sep 2016
Mugen no Ryvius,7.43,6.47,0.96000004,1986,15182,438,Oct 1999 - Mar 2000,Dec 1999 - Sep 2000
Simoun,7.44,6.48,0.96000004,1942,15063,1169,Apr 2006 - Sep 2006,Jan 2006 - Jul 2006
Bakuman.,8.19,7.24,0.9499998,362,5351,893,Oct 2010 - Apr 2011,Sep 2015 - Sep 2015
Dororo,8.24,7.29,0.9499998,297,4745,15412,Jan 2019 - Jun 2019,Aug 1967 - Jul 1968
Samurai 7,7.44,6.5,0.94000006,1940,14869,1341,Jun 2004 - Dec 2004,Aug 2006 - Mar 2007
Little Witch Academia,7.8,6.87,0.9300003,923,10297,3688,Mar 2013 - Mar 2013,Aug 2013 - Nov 2015
Seirei no Moribito,8.13,7.2,0.9300003,432,5755,2012,Apr 2007 - Sep 2007,Mar 2007 - Jul 2008
UFO Robo Grendizer,7.56,6.64,0.9200001,1530,13389,435,Oct 1975 - Feb 1977,Oct 1975 - Mar 1977
Koutetsu Jeeg,7.05,6.14,0.9100003,3785,17003,769,Oct 1975 - Aug 1976,Sep 1975 - Jul 1976
Coquelicot-zaka kara,7.79,6.88,0.90999985,938,10232,503,Jul 2011 - Jul 2011,Dec 1979 - Jul 1980
Lycoris Recoil,8.2,7.29,0.90999985,337,4814,2565,Jul 2022 - Sep 2022,Sep 2022 - Dec 2023
Un-Go: Inga-ron,7.54,6.63,0.90999985,1595,13490,775,Nov 2011 - Nov 2011,Sep 2011 - Mar 2012
Shoujo Kakumei Utena,8.2,7.31,0.88999987,341,4549,11603,Apr 1997 - Dec 1997,May 1996 - Mar 1998
SKET Dance,8.21,7.32,0.88999987,336,4378,2436,Apr 2011 - Sep 2012,Aug 2006 - Aug 2006
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.4,7.51,0.8899994,175,2716,1698,Feb 2018 - Feb 2018,Apr 2018 - Jul 2019
Juushin Liger,7.1,6.22,0.8800001,3567,16723,323,Mar 1989 - Jan 1990,Mar 1989 - Jan 1990
Tiger & Bunny,7.85,6.97,0.8800001,815,8986,1314,Apr 2011 - Sep 2011,Aug 2011 - Aug 2011
Shin Kidou Senki Gundam Wing,7.69,6.81,0.8800001,1166,11219,2255,Apr 1995 - Mar 1996,Apr 1995 - Apr 1996
Shoujo Kakumei Utena,8.2,7.32,0.87999964,341,4386,771,Apr 1997 - Dec 1997,Nov 1997 - Jan 1998
Great Pretender,8.23,7.35,0.87999964,310,4095,2592,Jul 2020 - Dec 2020,Jun 2020 - Aug 2020
Mimi wo Sumaseba,8.22,7.35,0.87000036,322,4065,2322,Jul 1995 - Jul 1995,Jul 1989 - Oct 1989
Kekkai Sensen,7.6,6.73,0.8699999,1383,12194,1528,Apr 2015 - Oct 2015,May 2008 - May 2008
Romantic Killer,8.06,7.2,0.8600006,524,5801,4953,Oct 2022 - Oct 2022,Jul 2019 - Jun 2020
Baccano!,8.37,7.51,0.85999966,189,2737,3760,Jul 2007 - Nov 2007,Oct 2015 - Jan 2017
Uchuu Senkan Yamato,7.59,6.74,0.8500004,1423,12124,1168,Oct 1974 - Mar 1975,Oct 1974 - Dec 1979
Metropolis,7.52,6.67,0.8499999,1668,12967,3028,May 2001 - May 2001,Sep 1949 - Sep 1949
Isekai no Seikishi Monogatari,7.75,6.9,0.8499999,1037,9956,1390,May 2009 - May 2010,Jun 2009 - May 2010
Isekai Nonbiri Nouka,7.58,6.73,0.8499999,1450,12245,22948,Jan 2023 - Mar 2023,Oct 2017 - Dec 2023
Heat Guy J,7.12,6.29,0.8299999,3487,16394,623,Oct 2002 - Mar 2003,Aug 2002 - Feb 2003
Ashita no Nadja,7.59,6.77,0.8200002,1402,11686,1050,Feb 2003 - Jan 2004,Feb 2003 - Dec 2003
Carole & Tuesday,7.87,7.05,0.8199997,793,7798,1723,Apr 2019 - Oct 2019,May 2019 - Jul 2020
Doraemon,7.37,6.56,0.80999994,2203,14270,1653,Apr 1973 - Sep 1973,Dec 1995 - Dec 1995
Kidou Senshi Gundam 00,8.11,7.3,0.80999947,441,4606,893,Oct 2007 - Mar 2008,Oct 2007 - Sep 2008
Phi Brain: Kami no Puzzle,7.17,6.37,0.8000002,3229,15968,802,Oct 2011 - Apr 2012,Nov 2011 - Sep 2012
