"score","amount"
7.47,73
7.77,44
8.53,4
6.5,82
8.23,21
5.21,1
6.84,120
8.66,2
8.15,10
8.34,8
5.29,1
7.73,46
6.06,17
6.72,103
4.43,1
6.52,88
8.32,8
6.18,27
7.97,28
5.71,4
5.77,7
7.25,97
5.02,1
7.45,85
5.87,12
6.63,84
6.24,31
5.72,2
7.0,110
6.57,99
3.05,1
5.45,5
7.66,49
7.38,76
8.72,2
5.98,12
5.3,1
6.55,81
7.39,82
5.96,5
4.61,1
6.73,84
6.54,84
4.27,1
6.15,18
6.23,33
6.6,85
7.87,19
7.26,86
8.12,18
5.35,3
7.81,25
8.1,22
7.46,67
5.82,7
7.29,99
9.47,1
4.91,1
8.37,9
6.79,88
6.16,29
6.47,70
6.31,51
8.68,6
6.11,22
7.71,30
6.27,24
8.18,15
7.98,18
6.85,125
5.22,3
4.96,1
7.93,30
8.56,8
6.56,88
5.86,6
7.24,108
8.09,9
5.74,2
8.63,5
8.39,10
8.43,5
7.78,34
9.08,1
7.28,99
6.39,45
5.64,5
8.11,17
5.27,2
6.96,109
5.51,6
8.33,9
7.56,56
8.26,9
9.15,1
5.06,1
6.21,30
6.65,112
5.54,2
8.83,2
8.94,1
5.46,5
6.04,21
8.71,3
7.61,68
6.26,41
6.42,69
5.69,6
5.79,7
7.94,21
7.54,63
7.41,85
8.67,1
7.62,40
8.27,11
6.91,118
8.44,7
7.08,130
7.59,38
4.59,1
7.42,67
5.31,2
6.12,26
8.16,19
6.83,96
7.83,38
4.99,2
8.3,15
5.9,11
7.14,94
6.13,19
5.33,2
7.58,51
6.76,112
5.05,1
8.96,1
5.52,1
8.2,9
7.05,127
8.69,2
7.6,51
5.08,1
6.14,26
7.04,117
6.58,87
5.85,5
5.01,1
7.88,21
8.28,8
6.01,16
5.14,1
7.1,124
5.73,7
7.65,55
8.19,12
7.36,87
6.35,47
5.62,5
7.4,83
6.98,108
5.94,12
8.64,3
5.39,1
8.05,20
5.26,1
8.49,4
7.17,103
6.29,38
6.0,9
9.03,2
4.71,1
5.55,1
8.81,1
7.02,130
7.51,73
6.88,115
7.16,104
4.78,1
8.42,6
8.52,6
7.48,55
7.19,107
6.61,81
6.67,82
6.99,93
4.54,1
7.34,78
6.77,111
6.36,49
8.95,1
6.66,103
8.08,14
5.16,1
6.97,109
8.65,5
8.54,5
6.17,24
8.5,8
6.75,110
6.07,17
8.03,10
7.01,96
6.08,15
6.03,15
5.12,1
8.24,6
6.05,19
4.38,1
5.49,1
6.53,89
8.7,3
7.07,135
8.47,4
7.09,117
7.64,44
5.61,3
5.84,5
7.49,71
6.59,77
7.27,98
5.59,3
9.3,1
8.35,9
8.4,10
8.92,3
5.03,1
5.43,2
8.36,9
6.94,104
6.02,13
8.86,2
8.14,21
7.84,28
5.38,2
8.89,2
5.5,2
8.04,14
7.12,111
7.22,92
5.92,13
8.02,20
5.47,1
5.2,2
6.38,36
7.92,22
7.72,34
4.65,1
8.0,11
5.1,1
5.83,8
5.48,2
7.2,112
8.07,13
5.65,10
7.33,108
7.21,92
7.75,41
7.23,104
8.17,12
8.79,3
7.89,24
6.8,87
7.68,44
8.41,11
5.78,13
4.47,1
5.44,2
8.78,2
7.32,104
8.29,15
6.71,107
8.75,2
8.73,1
6.82,99
8.58,4
6.33,58
8.25,7
5.15,2
7.55,47
8.45,6
5.66,8
5.53,7
6.41,74
7.69,46
5.76,4
7.7,38
6.1,31
6.89,108
6.74,110
5.09,1
6.64,100
6.22,26
8.77,2
7.63,44
6.45,68
8.62,5
5.89,14
7.91,28
8.82,1
6.44,65
6.3,39
6.49,74
5.68,5
6.25,35
9.22,1
4.76,1
5.63,8
7.3,86
5.91,16
6.86,120
7.43,52
5.88,8
5.97,8
8.38,7
7.96,16
6.68,108
5.37,2
6.51,86
5.25,1
7.67,56
5.7,2
8.06,19
8.84,2
7.44,76
9.05,1
7.99,21
8.13,13
9.0,1
5.13,1
8.59,4
6.34,45
5.6,4
8.31,10
4.73,1
5.75,5
5.42,4
7.79,28
7.37,90
5.57,3
6.09,10
6.32,46
6.4,59
6.69,95
7.13,122
6.7,109
5.32,1
8.61,4
5.56,1
6.93,99
7.53,46
9.02,1
6.81,107
5.8,10
8.46,4
8.6,5
5.93,8
7.76,29
7.95,20
6.87,116
8.22,7
7.8,36
6.78,100
8.21,12
6.2,41
7.11,103
8.57,4
7.03,119
7.52,73
5.67,7
6.62,102
6.43,61
6.9,125
5.58,6
7.5,61
7.57,66
6.48,84
8.55,5
7.74,43
7.18,97
7.06,111
5.95,11
8.01,13
6.95,105
8.93,1
9.23,1
7.9,24
5.41,2
6.19,33
8.88,3
7.85,27
6.46,76
5.81,11
7.86,31
8.91,1
8.51,5
8.48,6
7.15,98
6.37,60
5.4,1
7.31,92
5.99,10
7.35,84
7.82,29
4.94,1
6.92,125
6.28,39
